location_id,zip_code,mapping_method
BAL6,98107,spatial_join
BAL5,98107,spatial_join
BLT8,98101,spatial_join
BLT7,98101,spatial_join
PIO7,98104,spatial_join
WHP2,98106,spatial_join
WHP1,98106,spatial_join
WES4,98116,spatial_join
WES3,98116,spatial_join
WES2,98116,spatial_join
WES1,98116,spatial_join
WED2,98115,spatial_join
WED1,98115,spatial_join
WAL4,98103,spatial_join
WAL3,98103,spatial_join
WAL2,98103,spatial_join
WAL1,98103,spatial_join
UQA2,98109,spatial_join
UQA1,98119,spatial_join
UPT4,98119,spatial_join
UPT3,98109,spatial_join
UPT2,98109,spatial_join
UPT1,98119,spatial_join
UNI7,98105,spatial_join
UNI6,98105,spatial_join
UNI5,98105,spatial_join
UNI4,98105,spatial_join
UNI3,98105,spatial_join
UNI2,98105,spatial_join
UNI1,98105,spatial_join
TUJ2,98144,spatial_join
TUJ1,98122,spatial_join
SOP2,98108,spatial_join
SOP1,98108,spatial_join
SLU4,98109,spatial_join
SLU3,98109,spatial_join
MAP2,98112,spatial_join
SLU2,98109,spatial_join
SLU1,98109,spatial_join
RSV2,98115,spatial_join
RSV1,98115,spatial_join
RAV4,98105,spatial_join
RAV3,98105,spatial_join
RAV2,98105,spatial_join
RAV1,98105,spatial_join
RAI2,98118,spatial_join
RAI1,98118,spatial_join
PIO17,98104,spatial_join
PIO18,98104,spatial_join
PIO16,98104,spatial_join
PIO15,98104,spatial_join
PIO14,98104,spatial_join
PIO12,98104,spatial_join
PIO11,98104,spatial_join
PIO10,98104,spatial_join
PIO8,98104,spatial_join
PIO6,98104,spatial_join
PIO5,98104,spatial_join
PIO4,98104,spatial_join
PIO3,98104,spatial_join
PIO2,98104,spatial_join
PIO1,98104,spatial_join
PIK4,98122,spatial_join
PIK3,98122,spatial_join
PIK2,98122,spatial_join
PIK1,98122,spatial_join
OTH2,98118,spatial_join
OTH1,98118,spatial_join
NOR2,98125,spatial_join
NOR1,98125,spatial_join
MTB2,98144,spatial_join
MTB1,98144,spatial_join
MAP1,98112,spatial_join
MAM2,98112,spatial_join
MAM1,98112,spatial_join
MAG2,98199,spatial_join
MAG1,98199,spatial_join
LAK2,98125,spatial_join
LAK1,98125,spatial_join
GPR4,98103,spatial_join
GPR3,98103,spatial_join
GPR1,98103,spatial_join
GPR2,98103,spatial_join
GEO2,98108,spatial_join
GEO1,98108,spatial_join
FRE2,98103,spatial_join
FRE1,98103,spatial_join
FHT4,98122,spatial_join
FHT3,98104,spatial_join
FHT2,98122,spatial_join
FHT1,98104,spatial_join
DEN4,98121,spatial_join
DEN3,98121,spatial_join
DEN2,98121,spatial_join
DEN1,98101,spatial_join
CRO2,98117,spatial_join
CRO1,98117,spatial_join
COM4,98101,spatial_join
COM3,98101,spatial_join
COM2,98101,spatial_join
COM1,98104,spatial_join
COL2,98118,spatial_join
COL1,98118,spatial_join
CID4,98144,spatial_join
CID3,98104,spatial_join
CID2,98104,spatial_join
CID1,98104,spatial_join
CAP4,98122,spatial_join
CAP3,98102,spatial_join
CAP2,98112,spatial_join
CAP1,98102,spatial_join
BRY2,98115,spatial_join
BRY1,98115,spatial_join
BLV2,98133,spatial_join
BLV1,98133,spatial_join
BLT4,98121,spatial_join
BLT3,98121,spatial_join
BLT2,98121,spatial_join
BLT1,98121,spatial_join
BEA2,98144,spatial_join
BEA1,98144,spatial_join
BAL4,98107,spatial_join
BAL3,98107,spatial_join
BAL2,98107,spatial_join
BAL1,98107,spatial_join
ALK2,98116,spatial_join
ALK1,98116,spatial_join
