zip_code,survey_year,res_n_respondents,res_avg_reliability,res_avg_societal_impact,res_median_income,res_pct_internet_access,res_median_income_bucket,res_pct_eth_ai_an,res_pct_eth_african_american,res_pct_eth_asian,res_pct_eth_hispanic,res_pct_eth_mixed,res_pct_eth_nh_pi,res_pct_eth_other,res_pct_eth_refused,res_pct_eth_white,res_pct_gen_female,res_pct_gen_male,res_pct_gen_no_response,res_pct_gen_non_binary,res_pct_gen_other_no_response,obs_total_stays,obs_digital_users,obs_social_users,obs_avg_temp,obs_count_morning,obs_count_midday,obs_count_evening,obs_dsr,obs_pct_digital,is_robust
98101,2018,58,4.2037,2.4828,62500.0,93.1034,$50k-$75k,0.0,3.4483,6.8966,3.4483,0.0,1.7241,0.0,5.1724,79.3103,37.931,60.3448,1.7241,0.0,0.0,603,173.0,271.0,70.3267,115,235,253,0.636,28.6899,True
98101,2023,57,4.1481,2.5965,36500.0,92.9825,$27k-$46k,0.0,7.0175,15.7895,12.2807,0.0,0.0,1.7544,5.2632,57.8947,36.8421,56.1404,0.0,1.7544,5.2632,356,105.0,120.0,48.1107,66,143,147,0.8678,29.4944,True
98102,2018,136,3.9106,2.4853,87500.0,94.8529,$75k-$100k,0.7353,2.9412,5.8824,6.6176,3.6765,0.0,0.0,5.1471,75.0,50.0,41.1765,7.3529,1.4706,0.0,308,137.0,62.0,77.1753,58,111,139,2.1746,44.4805,True
98102,2023,143,4.1556,2.6014,87000.0,95.1049,$74k-$100k,0.6993,3.4965,11.1888,4.1958,3.4965,0.0,0.0,5.5944,71.3287,46.1538,48.951,0.0,3.4965,1.3986,116,45.0,13.0,52.7155,33,36,47,3.2143,38.7931,True
98103,2018,355,4.1947,2.5183,125000.0,96.338,$100k-$150k,0.0,0.2817,7.6056,3.3803,1.4085,0.2817,0.2817,6.1972,80.5634,49.0141,44.2254,6.1972,0.5634,0.0,358,99.0,225.0,68.4081,39,174,157,0.4381,27.6536,True
98104,2018,118,3.7609,2.4068,37500.0,84.7458,$25k-$50k,0.0,13.5593,20.339,2.5424,0.8475,1.6949,0.0,9.322,51.6949,50.0,40.678,7.6271,1.6949,0.0,4829,819.0,1931.0,73.2345,1159,1733,1938,0.4239,16.96,True
98104,2023,132,3.964,2.5152,13500.0,82.5758,<$27k,1.5152,15.9091,40.9091,5.303,3.7879,0.0,1.5152,6.0606,25.0,46.9697,46.2121,0.0,2.2727,4.5455,770,162.0,480.0,51.6029,108,330,332,0.3368,21.039,True
98105,2018,218,4.0976,2.4679,62500.0,96.3303,$50k-$75k,0.4587,2.7523,16.055,3.6697,3.6697,0.4587,0.9174,9.1743,62.844,45.4128,48.6239,4.1284,1.8349,0.0,227,95.0,99.0,56.722,39,124,96,0.95,41.8502,True
98105,2023,175,4.2036,2.7086,87000.0,95.4286,$74k-$100k,0.5714,5.1429,14.8571,8.0,4.0,0.0,2.2857,7.4286,57.7143,46.8571,46.8571,0.0,2.8571,3.4286,258,83.0,105.0,55.8721,39,120,99,0.783,32.1705,True
98106,2018,122,4.0088,2.5246,62500.0,95.9016,$50k-$75k,0.0,5.7377,4.918,7.377,7.377,0.0,0.0,6.5574,68.0328,56.5574,38.5246,2.459,2.459,0.0,4,3.0,0.0,62.2941,4,6,7,3.0,75.0,False
98106,2023,132,3.9764,2.6439,87000.0,99.2424,$74k-$100k,1.5152,12.1212,12.1212,15.1515,2.2727,0.0,0.7576,3.0303,53.0303,62.1212,34.0909,0.0,0.7576,3.0303,60,15.0,28.0,60.0833,12,20,28,0.5172,25.0,True
98107,2018,159,4.12,2.4906,125000.0,96.2264,$100k-$150k,0.0,0.6289,4.4025,3.7736,5.0314,0.0,0.0,6.9182,79.2453,47.7987,39.6226,9.434,3.1447,0.0,542,75.0,349.0,73.047,28,143,344,0.2143,13.8376,True
98107,2023,155,4.4067,2.6323,125000.0,99.3548,$100k-$150k,1.2903,1.2903,6.4516,3.871,3.2258,0.6452,1.9355,7.7419,73.5484,53.5484,44.5161,0.0,0.6452,1.2903,1136,141.0,874.0,,0,613,523,0.1611,12.412,True
98108,2018,155,3.9854,2.5032,62500.0,93.5484,$50k-$75k,0.6452,4.5161,28.3871,3.871,1.9355,0.0,0.0,8.3871,52.2581,46.4516,42.5806,7.0968,3.871,0.0,95,21.0,59.0,67.9811,8,59,39,0.35,22.1053,True
