zip_code,survey_year,res_n_respondents,res_avg_reliability,res_avg_societal_impact,res_avg_locations_not_home,res_median_income_bracket,res_pct_access,res_pct_eth_ai_an,res_pct_eth_african_american,res_pct_eth_asian,res_pct_eth_hispanic,res_pct_eth_mixed,res_pct_eth_nh_pi,res_pct_eth_other,res_pct_eth_refused,res_pct_eth_white,res_pct_gen_female,res_pct_gen_male,res_pct_gen_no_response,res_pct_gen_non_binary,obs_total_stays,obs_digital_users,obs_social_users,obs_avg_temp,obs_count_morning,obs_count_midday,obs_count_evening,obs_pct_time_morning,obs_pct_time_midday,obs_pct_time_evening,obs_dsr,obs_pct_digital,is_robust
98101,2018,58,4.204,2.571,2.431,3.0,93.103,0.0,3.448,6.897,3.448,0.0,1.724,0.0,5.172,79.31,37.931,60.345,1.724,0.0,603,173.0,271.0,70.327,115,235,253,19.07,38.97,41.96,0.636,28.69,True
98101,2023,57,4.148,2.596,2.263,2.0,92.982,0.0,7.018,15.789,12.281,0.0,0.0,1.754,5.263,57.895,36.842,56.14,5.263,1.754,356,105.0,120.0,48.111,66,143,147,18.54,40.17,41.29,0.868,29.49,True
98102,2018,136,3.911,2.58,2.853,4.0,94.853,0.735,2.941,5.882,6.618,3.676,0.0,0.0,5.147,75.0,50.0,41.176,7.353,1.471,308,137.0,62.0,77.175,58,111,139,18.83,36.04,45.13,2.175,44.48,True
98102,2023,143,4.156,2.601,2.951,4.0,95.105,0.699,3.497,11.189,4.196,3.497,0.0,0.0,5.594,71.329,46.154,48.951,1.399,3.497,116,45.0,13.0,52.716,33,36,47,28.45,31.03,40.52,3.214,38.79,True
98103,2018,355,4.195,2.547,2.82,5.0,96.338,0.0,0.282,7.606,3.38,1.408,0.282,0.282,6.197,80.563,49.014,44.225,6.197,0.563,358,99.0,225.0,68.408,39,174,157,10.89,48.6,43.85,0.438,27.65,True
98104,2018,118,3.761,2.559,2.136,2.0,84.746,0.0,13.559,20.339,2.542,0.847,1.695,0.0,9.322,51.695,50.0,40.678,7.627,1.695,4829,819.0,1931.0,73.235,1159,1733,1938,24.0,35.89,40.13,0.424,16.96,True
98104,2023,132,3.964,2.32,1.705,1.0,82.576,1.515,15.909,40.909,5.303,3.788,0.0,1.515,6.061,25.0,46.97,46.212,4.545,2.273,770,162.0,480.0,51.603,108,330,332,14.03,42.86,43.12,0.337,21.04,True
98105,2018,218,4.098,2.491,2.849,3.0,96.33,0.459,2.752,16.055,3.67,3.67,0.459,0.917,9.174,62.844,45.413,48.624,4.128,1.835,227,95.0,99.0,56.722,39,124,96,17.18,54.63,42.29,0.95,41.85,True
98105,2023,175,4.204,2.651,3.034,4.0,95.429,0.571,5.143,14.857,8.0,4.0,0.0,2.286,7.429,57.714,46.857,46.857,3.429,2.857,258,83.0,105.0,55.872,39,120,99,15.12,46.51,38.37,0.783,32.17,True
98106,2018,122,4.009,2.632,2.287,3.0,95.902,0.0,5.738,4.918,7.377,7.377,0.0,0.0,6.557,68.033,56.557,38.525,2.459,2.459,4,3.0,0.0,62.294,4,6,7,100.0,150.0,175.0,3.0,75.0,False
98106,2023,132,3.976,2.618,2.545,4.0,99.242,1.515,12.121,12.121,15.152,2.273,0.0,0.758,3.03,53.03,62.121,34.091,3.03,0.758,60,15.0,28.0,60.083,12,20,28,20.0,33.33,46.67,0.517,25.0,True
98107,2018,159,4.12,2.588,2.717,5.0,96.226,0.0,0.629,4.403,3.774,5.031,0.0,0.0,6.918,79.245,47.799,39.623,9.434,3.145,298,65.0,141.0,73.047,28,102,168,9.4,34.23,56.38,0.458,21.81,True
98107,2023,155,4.407,2.61,2.755,5.0,99.355,1.29,1.29,6.452,3.871,3.226,0.645,1.935,7.742,73.548,53.548,44.516,1.29,0.645,1136,141.0,874.0,,0,613,523,0.0,53.96,46.04,0.161,12.41,True
98108,2018,155,3.985,2.604,2.484,3.0,93.548,0.645,4.516,28.387,3.871,1.935,0.0,0.0,8.387,52.258,46.452,42.581,7.097,3.871,95,21.0,59.0,67.981,8,59,39,8.42,62.11,41.05,0.35,22.11,True
98108,2023,146,4.069,2.438,2.795,3.0,99.315,0.0,13.014,32.192,8.219,2.74,0.685,2.055,5.479,35.616,58.904,38.356,2.74,0.0,67,14.0,37.0,60.552,8,22,37,11.94,32.84,55.22,0.368,20.9,True
98109,2018,115,4.236,2.446,2.965,5.0,98.261,0.0,0.87,8.696,3.478,6.957,0.0,0.0,6.957,73.043,46.087,46.957,6.087,0.87,430,168.0,195.0,68.534,81,179,176,18.84,41.63,40.93,0.857,39.07,True
98109,2023,82,4.025,2.593,2.61,4.0,98.78,1.22,4.878,23.171,7.317,2.439,0.0,1.22,4.878,54.878,53.659,40.244,3.659,2.439,242,120.0,69.0,50.574,54,82,106,22.31,33.88,43.8,1.714,49.59,True
98112,2018,132,4.15,2.538,2.47,5.0,97.727,0.0,3.03,4.545,2.273,2.273,0.0,0.0,5.303,82.576,40.909,51.515,5.303,2.273,377,111.0,213.0,71.582,83,154,141,22.02,40.85,37.4,0.519,29.44,True
98112,2023,129,4.26,2.62,3.039,5.0,98.45,0.0,3.876,4.651,7.752,1.55,0.0,1.55,2.326,78.295,50.388,47.287,1.55,0.775,122,42.0,54.0,48.779,25,58,39,20.49,47.54,31.97,0.764,34.43,True
98115,2018,380,4.207,2.641,2.716,5.0,96.579,0.0,1.053,6.842,1.579,4.211,0.0,0.263,9.474,76.579,51.316,42.105,6.053,0.526,87,29.0,50.0,65.63,28,56,24,32.18,64.37,27.59,0.569,33.33,True
98116,2018,183,4.11,2.579,2.661,5.0,96.175,0.0,0.546,2.732,3.279,1.639,0.0,0.546,7.65,83.607,51.913,40.984,5.464,1.639,448,73.0,263.0,70.915,39,185,224,8.71,41.29,50.0,0.277,16.29,True
98117,2018,241,4.104,2.589,2.871,5.0,97.925,0.415,0.0,3.734,2.49,1.66,0.0,0.415,6.224,85.062,55.187,41.494,2.075,1.245,5,2.0,0.0,68.375,4,6,6,80.0,120.0,120.0,2.0,40.0,False
98118,2018,274,4.06,2.568,2.358,3.0,93.066,0.365,14.234,18.978,1.825,4.015,0.365,0.365,6.569,53.285,49.27,41.606,6.934,2.19,198,60.0,101.0,73.972,50,87,79,25.25,43.94,39.9,0.588,30.3,True
98118,2023,322,4.146,2.62,2.795,4.0,96.894,0.0,15.528,18.323,6.522,3.106,1.242,0.621,5.901,48.758,53.416,39.752,4.969,1.863,196,47.0,83.0,58.952,45,95,56,22.96,48.47,28.57,0.56,23.98,True
98119,2018,128,4.035,2.584,2.297,4.0,90.625,0.0,3.906,9.375,0.781,3.906,0.0,1.562,7.812,72.656,48.438,42.188,8.594,0.781,153,41.0,64.0,72.435,32,66,56,20.92,43.14,36.6,0.631,26.8,True
98119,2023,106,4.363,2.585,2.425,4.0,96.226,0.0,3.774,11.321,7.547,0.943,0.0,0.943,8.491,66.981,47.17,49.057,2.83,0.943,299,89.0,85.0,54.468,69,109,121,23.08,36.45,40.47,1.035,29.77,True
98121,2018,64,4.19,2.578,2.719,3.5,98.438,0.0,3.125,12.5,9.375,4.688,0.0,0.0,7.812,62.5,43.75,50.0,0.0,6.25,868,297.0,479.0,74.189,154,360,355,17.74,41.47,40.9,0.619,34.22,True
98121,2023,61,4.224,2.467,2.672,3.0,98.361,1.639,18.033,19.672,4.918,6.557,0.0,0.0,6.557,42.623,32.787,55.738,8.197,3.279,614,243.0,347.0,53.403,111,229,274,18.08,37.3,44.63,0.698,39.58,True
98122,2018,183,3.927,2.592,3.109,4.0,97.814,0.546,6.011,11.475,5.464,3.825,0.0,0.0,8.743,63.934,48.634,45.355,5.464,0.546,563,178.0,300.0,75.751,81,202,283,14.39,35.88,50.27,0.591,31.62,True
98122,2023,157,4.3,2.592,2.758,4.0,98.089,0.0,8.28,14.013,8.917,5.732,0.637,0.637,4.459,57.325,42.038,51.592,3.822,2.548,379,135.0,186.0,48.78,37,180,162,9.76,47.49,42.74,0.722,35.62,True
98125,2018,329,3.997,2.574,2.307,3.0,93.617,0.304,3.343,9.726,5.471,3.951,0.304,0.0,5.167,71.733,53.191,40.122,4.863,1.824,206,87.0,41.0,69.616,40,82,89,19.42,39.81,43.2,2.071,42.23,True
