survey_year,zip_code,has_internet_access,reliability_score,usage_locations,num_usage_locations_not_home,income_group,income_continuous,ethnicity_group,gender_group,societal_impact_score,zip_respondent_count
2018,98125,1,5.0,,0,$25k-$50k,37500.0,White,Male,3.0,329
2018,98101,1,4.0,,0,$50k-$75k,62500.0,White,Female,2.0,58
2018,98144,1,4.0,,0,Below $25k,12500.0,African American,Male,2.0,162
2018,98199,1,4.0,,0,$150k-$200k,175000.0,White,Female,3.0,115
2018,98112,1,,,0,Below $25k,12500.0,African American,Female,2.0,132
2018,98115,1,4.0,,0,$75k-$100k,87500.0,White,Male,2.0,380
2018,98103,1,4.0,,0,,,White,Male,3.0,355
2018,98104,1,3.0,,0,$25k-$50k,37500.0,White,Male,2.0,118
2018,98105,1,3.0,,0,$200k+,250000.0,White,Male,3.0,218
2018,98115,1,4.0,,0,,,White,Male,3.0,380
2018,98125,1,5.0,,0,$50k-$75k,62500.0,Asian,Male,3.0,329
2018,98118,1,4.0,,0,$150k-$200k,175000.0,African American,Female,3.0,274
2018,98117,1,4.0,,0,$150k-$200k,175000.0,White,Male,3.0,241
2018,98117,1,4.0,,0,$25k-$50k,37500.0,White,Male,3.0,241
2018,98106,0,,,0,,,White,Female,0.0,122
2018,98125,1,5.0,,0,Below $25k,12500.0,White,Female,3.0,329
2018,98119,1,4.0,,0,$150k-$200k,175000.0,White,Male,3.0,128
2018,98103,1,3.0,,0,$50k-$75k,62500.0,White,Female,2.0,355
2018,98118,1,4.0,,0,$50k-$75k,62500.0,Mixed,No Response,3.0,274
2018,98133,1,4.0,,0,$50k-$75k,62500.0,White,Female,4.0,226
2018,98103,1,3.0,,0,$25k-$50k,37500.0,White,Female,1.0,355
2018,98105,1,4.0,,0,$100k-$150k,125000.0,White,Male,3.0,218
2018,98119,0,,,0,Below $25k,12500.0,White,Female,2.0,128
2018,98102,1,2.0,,0,,,White,Male,3.0,136
2018,98116,1,4.0,,0,$25k-$50k,37500.0,White,Male,3.0,183
2018,98122,1,3.0,,0,$100k-$150k,125000.0,White,Female,2.0,183
