"unique_moving_id","study_id","location_id","moving_time_start","moving_time_end","moving_day_of_week","moving_time_of_day","moving_count_surveyor","moving_conditions","moving_microclimate","moving_temperature","moving_row_id","moving_row_total","moving_male","moving_male_mobility_assist","moving_female","moving_female_mobility_assist","moving_other_unsure","moving_other_unsure_mobility_assist","moving_total_mobility_assist","moving_groupsize_1","moving_groupsize_2","moving_groupsize_3","moving_groupsize_4","moving_groupsize_5","moving_groupsize_6","moving_groupsize_7","moving_groupsize_8","moving_groupsize_9","moving_groupsize_10+","moving_0-4","moving_5-14","moving_15-24","moving_25-44","moving_45-64","moving_65+","moving_25_64","moving_pedestrian","moving_micromobility","moving_bicycling","moving_motorized","moving_supported","moving_notes"
"2376","2022_Ballard_Ave","BAL6","2022 Sep 01 07:10:00 PM","2022 Sep 01 07:20:00 PM","Weekday","Evening","SDOT",,,,"5","116","59",,"57",,,,,,,,,,,,,,,"3","1","12",,,"10","90",,,,,,
"2374","2022_Ballard_Ave","BAL5","2022 Sep 01 06:47:00 PM","2022 Sep 01 06:57:00 PM","Weekday","Evening","SDOT",,,,"6","105",,,,,,,,,,,,,,,,,,,,,,,,,"84",,"5","16",,
"2378","2022_Ballard_Ave","BAL6","2022 Sep 01 06:37:00 PM","2022 Sep 01 06:47:00 PM","Weekday","Evening","SDOT",,,,"6","127",,,,,,,,,,,,,,,,,,,,,,,,,"95",,,"32",,
"2375","2022_Ballard_Ave","BAL6","2022 Sep 01 06:08:00 PM","2022 Sep 01 06:18:00 PM","Weekday","Evening","SDOT",,,,"5","112","49",,"63",,,,,,,,,,,,,,,"1","2","9",,,"7","93",,,,,,
"2372","2022_Ballard_Ave","BAL5","2022 Sep 01 06:03:00 PM","2022 Sep 01 06:13:00 PM","Weekday","Evening","SDOT",,,,"5","84","45",,"39",,,,,,,,,,,,,,,"2",,,,,"5","77",,,,,,
"2373","2022_Ballard_Ave","BAL5","2022 Sep 01 05:51:00 PM","2022 Sep 01 06:01:00 PM","Weekday","Evening","SDOT",,,,"6","95",,,,,,,,,,,,,,,,,,,,,,,,,"71",,"9","11","4",
"2377","2022_Ballard_Ave","BAL6","2022 Sep 01 05:37:00 PM","2022 Sep 01 05:47:00 PM","Weekday","Evening","SDOT",,,,"6","117",,,,,,,,,,,,,,,,,,,,,,,,,"74","1","10","31","1","2bike sb
1 skateboard sb in road
1 ped with navigation cane - put as ped"
"2371","2022_Ballard_Ave","BAL5","2022 Sep 01 05:23:00 PM","2022 Sep 01 05:23:00 PM","Weekday","Evening","SDOT",,,,"5","68","39",,"29",,,,,,,,,,,,,,,"2","3","2",,,"10","51",,,,,,
"2366","2022_Ballard_Ave","BAL5","2022 Sep 01 05:03:00 PM","2022 Sep 01 05:13:00 PM","Weekday","Midday","SDOT",,,,"6","99",,,,,,,,,,,,,,,,,,,,,,,,,"69",,"15","1",,"4 bikes against traffic."
"2368","2022_Ballard_Ave","BAL6","2022 Sep 01 05:01:00 PM","2022 Sep 01 05:11:00 PM","Weekday","Midday","SDOT",,,,"5","89","47",,"42",,,,,,,,,,,,,,,"1","1",,,,"5","82",,,,,,
"2370","2022_Ballard_Ave","BAL6","2022 Sep 01 04:39:00 PM","2022 Sep 01 04:49:00 PM","Weekday","Midday","SDOT",,,,"6","84",,,,,,,,,,,,,,,,,,,,,,,,,"64","1","5","14",,"Two bikes and the one micromobility going south"
"2364","2022_Ballard_Ave","BAL5","2022 Sep 01 04:38:00 PM","2022 Sep 01 04:48:00 PM","Weekday","Midday","SDOT",,,,"5","64","35",,"29",,,,,,,,,,,,,,,"3","2","4",,,"6","49",,,,,,
"2367","2022_Ballard_Ave","BAL6","2022 Sep 01 04:05:00 PM","2022 Sep 01 04:15:00 PM","Weekday","Midday","SDOT",,,,"5","84","40",,"44",,,,,,,,,,,,,,,"2","4","2",,,"1","75",,,,,,
"2365","2022_Ballard_Ave","BAL5","2022 Sep 01 03:52:00 PM","2022 Sep 01 04:02:00 PM","Weekday","Midday","SDOT",,,,"6","91",,,,,,,,,,,,,,,,,,,,,,,,,"63","1","6","19","2",
"2363","2022_Ballard_Ave","BAL5","2022 Sep 01 03:36:00 PM","2022 Sep 01 03:46:00 PM","Weekday","Midday","SDOT",,,,"5","59","25",,"34",,,,,,,,,,,,,,,"1",,"4",,,"1","53",,,,,,
"2369","2022_Ballard_Ave","BAL6","2022 Sep 01 03:34:00 PM","2022 Sep 01 03:44:00 PM","Weekday","Midday","SDOT",,,,"6","112",,,,,,,,,,,,,,,,,,,,,,,,,"72",,"10","28","2","5 southbound bikes"
